Museum,Catalog number,Year,Original year,Latitude,Longitude,PC1,Chroma,Loc_SiteName,Loc_Municipality,Loc_Department,RegMus_ObsAlt,Distance over transect
Universidad del Valle,3328,1956,1971,3.83335,-76.71658,0.384296979,0.554,ZELANDIA,Dagua,Valle del Cauca,1200,65.712
Universidad del Valle,3348,1956,1971,3.83335,-76.71658,0.184649927,0.534,ZELANDIA,Dagua,Valle del Cauca,1200,65.712
Cornell University Museum of Vertebrates,26992,1956,1956,3.566666667,-76.71666667,1.361176389,0.627,EL SALADO,Unknown,Valle del Cauca,4300 ft,76.146
Cornell University Museum of Vertebrates,26993,1956,1956,3.566666667,-76.71666667,1.203004829,0.639,EL SALADO,Unknown,Valle del Cauca,4300 ft,76.146
Cornell University Museum of Vertebrates,26994,1956,1956,3.566666667,-76.71666667,2.181290784,0.608,EL SALADO,Unknown,Valle del Cauca,4300 ft,76.146
Universidad del Valle,611,1956,1969,3.516666667,-76.71666667,1.986479451,0.723,QUEREMAL CORREGIMIENTO,Dagua,Valle del Cauca,1320,78.144
Cornell University Museum of Vertebrates,26995,1956,1956,3.566666667,-76.71666667,,0.678,EL SALADO,Unknown,Valle del Cauca,4300 ft,76.146
Instituto de Ciencias Naturales,28440,1956,1984,3.886152778,-76.59956,1.564860285,,"CALIMA, EMBALSE DE",Calima (Darién),Valle del Cauca,825,74.703
Instituto de Ciencias Naturales,28447,1956,1984,3.886152778,-76.59956,1.171558022,,"CALIMA, EMBALSE DE",Calima (Darién),Valle del Cauca,825,74.703
Instituto de Ciencias Naturales,28448,1956,1984,3.886152778,-76.59956,0.593810531,,"CALIMA, EMBALSE DE",Calima (Darién),Valle del Cauca,825,74.703
Instituto de Ciencias Naturales,28446,1956,1984,3.886152778,-76.59956,2.037073875,,"CALIMA, EMBALSE DE",Calima (Darién),Valle del Cauca,825,74.703
Instituto de Ciencias Naturales,28424,1956,1984,3.90562,-76.63025,1.019175277,,Río Bravo,Restrepo,Valle del Cauca,800-850,71.04
Instituto de Ciencias Naturales,28423,1956,1984,3.90562,-76.63025,-0.080812835,,Río Bravo,Restrepo,Valle del Cauca,800-850,71.04
Universidad del Valle,186,1956,1967,3.650052778,-76.56637778,0.372261916,0.727,La Cumbre,La Cumbre,Valle del Cauca,,87.135
Cornell University Museum of Vertebrates,27087,1956,1956,3.299394,-76.519186,1.147009915,0.738,La Olga,Jamundi,Valle del Cauca,900,105.339
Cornell University Museum of Vertebrates,27085,1956,1956,3.383333333,-76.46666667,2.027124215,0.721,Navarro,Cali,Valle del Cauca,3200 ft,107.004
Universidad de los Andes,535,2010,2009,3.96350,-77.37908,-0.6464,0.403,La Barra,Buenaventura,Valle del Cauca,7,0
Universidad de los Andes,555,2010,2008,3.94589,-77.36597,-0.10864,0.396,"Ladrilleros, Vía la Barra",Buenaventura,Valle del Cauca,24,0
Universidad de los Andes,586,2010,2008,3.943694444,-77.36608333,0.13671,0.335,Ladrilleros,Buenaventura,Valle del Cauca,12,0
Universidad de los Andes,587,2010,2008,3.96350,-77.37908,-0.82309,0.393,La Barra 2,Buenaventura,Valle del Cauca,5,0
Universidad de los Andes,665,2010,2010,3.96342,-77.37925,-0.85852,0.437,"Corregimiento La Barra, Finca Samara",Buenaventura,Valle del Cauca,8,0
Universidad de los Andes,669,2010,2010,3.96342,-77.37925,-0.52591,0.403,"Corregimiento La Barra, Finca Samara",Buenaventura,Valle del Cauca,8,0
Universidad de los Andes,660,2010,2010,3.96342,-77.37925,0.78851,0.358,"Corregimiento La Barra, Finca Samara",Buenaventura,Valle del Cauca,8,0
Universidad de los Andes,699,2010,2010,3.95864,-77.37619,-0.58495,,"Corregimiento La Barra, Cocotal",Buenaventura,Valle del Cauca,16,0
Universidad de los Andes,AMR103,2010,2009,3.84847,-77.00000,0.19226,0.417,Universidad Pacifico 2,Buenaventura,Valle del Cauca,15,38.295
Universidad de los Andes,562,2010,2009,3.84847,-77.00000,-0.06862,0.380,Universidad Pacifico 1,Buenaventura,Valle del Cauca,,38.295
Universidad de los Andes,558,2010,2008,3.84458897,-76.7931059,-0.70911,0.390,"Vía B/tura-Cali, km 30",Buenaventura,Valle del Cauca,245,58.053
Universidad de los Andes,588,2010,2008,3.608666667,-76.918,0.63004,0.443,"EPSA, Bajo Anchicaya, Al frente de planta",Dagua,Valle del Cauca,155,55.389
Universidad de los Andes,548,2010,2008,3.608666667,-76.918,0.47269,0.493,"EPSA, Bajo Anchicaya, Al frente de planta",Dagua,Valle del Cauca,163,55.389
Universidad de los Andes,594,2010,2008,3.576166667,-76.88008333,-0.95359,0.434,"EPSA, Alto Anchicaya, Hacia Acueducto",Dagua,Valle del Cauca,637,60.273
Universidad de los Andes,553,2010,2008,3.83566358,-76.79076542,1.70473,0.453,"Vía B/tura-Cali, km 30, Vda. La Delfina",Buenaventura,Valle del Cauca,289,58.608
Universidad de los Andes,581,2010,2008,3.574266667,-76.87781667,,0.348,"EPSA, Alto Anchicaya 1",Dagua,Valle del Cauca,601,60.606
Universidad de los Andes,593,2010,2008,3.57427,-76.87782,-1.42288,0.373,"EPSA, Alto Anchicaya 2",Dagua,Valle del Cauca,607,60.606
Universidad de los Andes,537,2010,2008,3.575033333,-76.87931667,0.20209,0.396,"EPSA, Alto Anchicaya 3",Dagua,Valle del Cauca,632,60.384
Universidad de los Andes,563,2010,2008,3.572916667,-76.87866667,-0.58801,0.419,"EPSA, Alto Anchicaya 4",Dagua,Valle del Cauca,593,60.606
Universidad de los Andes,546,2010,2008,3.576166667,-76.88008333,,0.404,"EPSA, Alto Anchicaya 5",Dagua,Valle del Cauca,637,60.273
Universidad de los Andes,526,2010,2009,3.59528000,-76.79556,0.50816,0.417,BLANCO RIO,Dagua,Valle del Cauca,,67.599
Universidad de los Andes,528,2010,2009,3.57614,-76.75619,-0.64285,0.336,"La Elsa,  Finca La Marina",Dagua,Valle del Cauca,,72.039
Universidad de los Andes,530,2010,2009,3.57614,-76.75619,-0.75672,0.402,"La Elsa,  Finca La Marina",Dagua,Valle del Cauca,,72.039
Universidad de los Andes,578,2010,2008,3.525805556,-76.73261111,1.3498,0.681,"Queremal, Vía a B/tura",Dagua,Valle del Cauca,1393,76.257
Universidad de los Andes,580,2010,2008,3.527833333,-76.71916667,0.24821,0.503,"Queremal, Carretera hacia B/tura 1",Dagua,Valle del Cauca,1465,77.478
Universidad de los Andes,598,2010,2008,3.527222222,-76.71288889,0.58272,0.465,"Queremal, Carretera hacia B/tura 2",Dagua,Valle del Cauca,1455,78.033
Universidad de los Andes,592,2010,2008,3.528138889,-76.71488889,1.06774,0.693,"Queremal, Carretera hacia B/tura 3",Dagua,Valle del Cauca,1470,77.811
Universidad de los Andes,559,2010,2008,3.473833333,-76.64736111,0.71823,0.581,"Corregimiento San Bernardo, Vda. Alto San Luis",Dagua,Valle del Cauca,1911,86.358
Universidad de los Andes,464,2010,2007,3.566194444,-76.58133333,1.12143,0.683,"Vereda Chicoral, Finca la minga",La Cumbre,Valle del Cauca,2010,89.022
Universidad de los Andes,547,2010,2008,3.566194444,-76.58133333,1.87303,0.496,"Vereda Chicoral, Finca la minga",La Cumbre,Valle del Cauca,2001,89.022
Universidad de los Andes,600,2010,2009,3.455,-76.63505556,0.76318,0.698,Corregimiento La Leonera,Cali,Valle del Cauca,1742,88.245
Universidad de los Andes,552,2010,2008,3.4275,-76.64338889,1.61635,0.670,"Peñas Blancas, Finca Las Golondrinas",Cali,Valle del Cauca,2063,88.578
Universidad de los Andes,670,2010,2010,3.4236667,-76.6171167,1.08799,0.716,Corregimiento Andes,Cali,Valle del Cauca,1669,91.242
Universidad de los Andes,661,2010,2010,3.4758056,-76.1924167,0.96773,0.600,"Corregimiento La Buitrera, Vda Arenillos",Cali,Valle del Cauca,1484,129.426
